file	avg	reqs	50th	90th	95th	99th
soren-st-pl32-k16-23.05.11-11:49.txt	4166.25	14128181	3206	3353	3419	3777
soren-st-live-pl32-k16-23.05.11-11:49.txt	1.8446742729779421e+19	14128181	18446744035453548754	18446744065982059591	18446744069807388827	18446744072889002063
soren-st-pl512-k16-23.05.11-11:58.txt	5255.06	3397917	4031	5215	5444	6297
soren-st-live-pl512-k16-23.05.11-11:58.txt	1.8446738603652184e+19	3397917	18446744032223936638	18446744065111776912	18446744069371365084	18446744072778377969
soren-st-pl64-k16-23.05.11-12:06.txt	4245.72	11671106	3316	3495	3629	4049
soren-st-live-pl64-k16-23.05.11-12:06.txt	1.844674245414908e+19	11671106	18446744034680418092	18446744065728811330	18446744069754887936	18446744072903161882
soren-st-pl128-k16-23.05.11-12:15.txt	4363.29	8659208	3407	3564	3638	4388
soren-st-live-pl128-k16-23.05.11-12:15.txt	1.8446741903814093e+19	8659208	18446744034115100618	18446744065771728098	18446744069727425575	18446744072891753366
soren-st-pl256-k16-23.05.11-12:25.txt	4793.12	5711392	3618	4653	4871	5533
soren-st-live-pl256-k16-23.05.11-12:25.txt	1.844674080250316e+19	5711392	18446744032001009751	18446744064972402007	18446744069306376457	18446744072771830765
soren-st-pl128-k16-23.05.11-12:45.txt	4362.49	8659208	3407	3569	3643	4150
soren-st-live-pl128-k16-23.05.11-12:45.txt	1.8446741903773245e+19	8659208	18446744034086057646	18446744065727914755	18446744069684429124	18446744072849729378
soren-st-pl256-k16-23.05.11-13:42.txt	4547.02	5711392	3588	3743	3835	4160
soren-st-live-pl256-k16-23.05.11-13:42.txt	1.8446740803910136e+19	5711392	18446744033726314138	18446744065693796940	18446744069692686624	18446744072892010703
